Organization,Industry,Breach_Type,Records_Compromised,Detection_Days,Total_Cost_USD,Compliance_Standard,Breach_Year,Industry_encoded,Breach_Type_encoded,Compliance_encoded,High_Cost
"Young, Hernandez and Khan",Education,Ransomware,471356,264,656068,SOX,2021,0,5,4,1
Harris Group,Government,Phishing,123357,282,175040,,2016,2,4,5,0
Clark-Becker,Finance,Phishing,979162,113,258193,PCI-DSS,2015,1,4,3,0
Newman-Olsen,Technology,Phishing,872737,327,452332,CCPA,2022,5,4,0,0
Garza and Sons,Finance,DDoS,269154,30,524568,PCI-DSS,2022,1,1,3,1
"Rosario, Logan and Middleton",Government,Credential Theft,975317,135,298267,GDPR,2021,2,0,1,0
"Kemp, Myers and Hutchinson",Retail,Phishing,833389,67,444536,GDPR,2022,4,4,1,0
Li-Martinez,Retail,DDoS,559352,65,643032,GDPR,2017,4,1,1,1
"Curtis, Carter and Clark",Retail,Malware,418543,292,670435,,2016,4,3,5,1
Brown-Griffin,Government,Ransomware,923582,25,750291,HIPAA,2021,2,5,2,1
"Mathews, Harris and Cooper",Retail,Credential Theft,803685,37,881883,HIPAA,2022,4,0,2,1
Martin-Mendez,Education,Ransomware,322009,1,661977,HIPAA,2015,0,5,2,1
Walker and Sons,Technology,Credential Theft,754544,37,456652,,2024,5,0,5,0
"Cook, Ponce and Francis",Finance,Ransomware,632600,141,671862,PCI-DSS,2023,1,5,3,1
"Perry, Rosales and Banks",Finance,Credential Theft,563459,232,593343,HIPAA,2018,1,0,2,1
"Duncan, Greene and Brown",Government,Ransomware,113090,136,601273,CCPA,2018,2,5,0,1
"Duffy, Mathis and Vega",Retail,Ransomware,69619,188,535443,GDPR,2017,4,5,1,1
"Fowler, Parks and Jackson",Retail,Ransomware,9603,128,317589,PCI-DSS,2020,4,5,3,0
Dickerson and Sons,Healthcare,Ransomware,191875,201,294380,GDPR,2015,3,5,1,0
Howard-Simon,Technology,Malware,981983,127,480576,HIPAA,2020,5,3,2,0
"Wells, Brooks and Knapp",Education,Phishing,619845,257,529782,PCI-DSS,2016,0,4,3,1
"Morales, Rodriguez and Smith",Finance,Insider Threat,713326,164,364111,SOX,2023,1,2,4,0
"Jones, Cooper and Velasquez",Healthcare,DDoS,148077,35,584668,CCPA,2016,3,1,0,1
"Peck, Benitez and Villegas",Healthcare,Insider Threat,570226,194,916153,HIPAA,2021,3,2,2,1
Fisher Group,Government,Insider Threat,911732,191,151133,HIPAA,2015,2,2,2,0
Burgess Inc,Finance,Credential Theft,451595,104,616448,CCPA,2021,1,0,0,1
"Stewart, Lang and Sharp",Government,Phishing,613877,23,486805,CCPA,2019,2,4,0,0
"Edwards, Foster and Mcguire",Education,Credential Theft,26906,265,590131,SOX,2022,0,0,4,1
"Wiggins, Lindsey and Owens",Healthcare,Phishing,176172,290,413857,HIPAA,2018,3,4,2,0
"Sharp, Johnson and Wood",Healthcare,Phishing,415484,260,470788,,2024,3,4,5,0
Griffin PLC,Technology,Ransomware,70219,358,525900,HIPAA,2021,5,5,2,1
Johnson LLC,Education,Malware,825246,75,439673,GDPR,2020,0,3,1,0
Irwin Inc,Healthcare,Ransomware,185265,355,195891,PCI-DSS,2019,3,5,3,0
Perry-Mitchell,Education,Malware,841951,72,453216,PCI-DSS,2018,0,3,3,0
Miller-Moreno,Finance,Credential Theft,966749,259,216713,GDPR,2021,1,0,1,0
Lewis Inc,Retail,Malware,629820,188,630638,PCI-DSS,2019,4,3,3,1
Christensen Group,Healthcare,Credential Theft,470741,173,126890,CCPA,2019,3,0,0,0
Conway and Sons,Technology,Insider Threat,879481,290,705730,PCI-DSS,2015,5,2,3,1
Rowland-Harris,Finance,Insider Threat,471127,45,585912,PCI-DSS,2016,1,2,3,1
Barron-Turner,Education,Malware,920065,61,586677,GDPR,2019,0,3,1,1
"Bowman, Santos and Martinez",Government,Malware,407607,83,67138,SOX,2017,2,3,4,0
Davis-Price,Finance,Credential Theft,702264,123,434280,PCI-DSS,2016,1,0,3,0
"Black, Santos and Evans",Healthcare,Ransomware,863503,358,730712,,2018,3,5,5,1
Ross-Hall,Education,Credential Theft,880003,16,396278,PCI-DSS,2018,0,0,3,0
Davis-Jones,Retail,Ransomware,851478,66,284387,SOX,2018,4,5,4,0
"Edwards, Johnson and West",Finance,Insider Threat,885521,145,372665,GDPR,2018,1,2,1,0
Arnold-Taylor,Healthcare,Phishing,84180,162,486344,SOX,2017,3,4,4,0
Smith and Sons,Technology,Malware,252891,234,329725,GDPR,2021,5,3,1,0
Caldwell PLC,Government,Ransomware,978936,144,746763,CCPA,2023,2,5,0,1
Wood-Hall,Education,Credential Theft,77894,358,487066,GDPR,2019,0,0,1,0
Gordon Ltd,Finance,Insider Threat,293085,188,388886,CCPA,2018,1,2,0,0
Martinez-Saunders,Finance,Ransomware,124547,322,239731,CCPA,2016,1,5,0,0
Garcia-Howard,Retail,Credential Theft,120129,13,596889,GDPR,2016,4,0,1,1
"Farley, Smith and Nelson",Retail,Malware,179930,184,592333,,2019,4,3,5,1
"Delgado, Smith and Nelson",Technology,Malware,508042,111,341558,HIPAA,2021,5,3,2,0
West-Garcia,Government,DDoS,338516,290,52734,GDPR,2024,2,1,1,0
Gomez-Wright,Technology,Phishing,562031,295,582152,PCI-DSS,2024,5,4,3,1
Wong PLC,Healthcare,DDoS,968012,215,462639,,2023,3,1,5,0
Parks and Sons,Healthcare,Insider Threat,306194,120,567214,,2021,3,2,5,1
"Gomez, Mendez and Conway",Technology,Ransomware,188021,55,891434,PCI-DSS,2019,5,5,3,1

